                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7057,                 2.4034,                 1.0739,                0.20516,                0.18902,                0.15258,                0.08442,                 1.5774,                 1.5698,                  1.024,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.6237,                 1.5961,                  1.035,                0.26682,                0.23114,                0.18842,                0.10677,                 1.5757,                 1.4464,                 1.0225,              0.0065925,              0.0065925,              0.0065925
                      3,                  1.629,                 1.5253,                 1.0304,                0.31247,                0.25363,                0.21825,                0.12264,                  1.544,                 1.4025,                 1.0171,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.6169,                 1.4594,                 1.0243,                0.33983,                0.27537,                0.25333,                  0.146,                 1.4926,                 1.2981,                0.99965,               0.009703,               0.009703,               0.009703
                      5,                  1.573,                 1.3741,                 1.0108,                0.33771,                0.28829,                0.25261,                0.14434,                 1.4766,                 1.2644,                0.99195,               0.009604,               0.009604,               0.009604
                      6,                 1.5422,                 1.3242,                 1.0046,                 0.3493,                0.28116,                0.25182,                0.14753,                 1.4831,                 1.2848,                0.99157,               0.009505,               0.009505,               0.009505
                      7,                 1.5227,                 1.2805,                0.99783,                0.37616,                0.29981,                0.28282,                0.16361,                 1.4619,                 1.2124,                0.98776,               0.009406,               0.009406,               0.009406
                      8,                 1.5018,                 1.2492,                0.99247,                0.38374,                 0.3151,                  0.298,                0.17299,                 1.4371,                 1.1644,                0.98666,               0.009307,               0.009307,               0.009307
                      9,                 1.4972,                 1.2226,                0.98832,                0.40251,                0.30684,                0.30089,                0.17472,                 1.4435,                  1.168,                0.98448,               0.009208,               0.009208,               0.009208
                     10,                 1.4759,                  1.193,                0.98484,                0.37299,                0.32075,                0.29853,                0.17413,                 1.4204,                 1.1503,                0.98248,               0.009109,               0.009109,               0.009109
                     11,                   1.47,                 1.1776,                0.98104,                0.42629,                0.31551,                0.31754,                0.18631,                  1.409,                 1.1271,                 0.9779,                0.00901,                0.00901,                0.00901
                     12,                 1.4651,                 1.1639,                0.97965,                0.41698,                0.32155,                 0.3172,                0.18371,                 1.4005,                 1.1158,                0.97465,               0.008911,               0.008911,               0.008911
                     13,                 1.4563,                 1.1483,                0.97758,                0.43221,                0.32063,                0.31756,                0.18668,                 1.4055,                 1.1184,                0.97541,               0.008812,               0.008812,               0.008812
                     14,                 1.4355,                 1.1365,                0.97334,                0.42998,                0.33472,                0.33094,                0.19673,                 1.3722,                 1.0909,                 0.9636,               0.008713,               0.008713,               0.008713
                     15,                 1.4378,                 1.1251,                0.97212,                0.42475,                0.33437,                0.32823,                0.19357,                 1.3944,                 1.0978,                0.96542,               0.008614,               0.008614,               0.008614
                     16,                  1.427,                  1.111,                0.97106,                 0.4247,                0.34086,                0.33412,                0.19662,                 1.3896,                 1.0879,                0.96671,               0.008515,               0.008515,               0.008515
